;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual
Station;V_E;V_N;V_U;σ_E;σ_N;σ_U;V_E;V_N;V_U;σ_E;σ_N;σ_U
1LSU;-12.801686326769904;-0.5463000641660516;-2.7597054283942875;0.16465608213862148;0.11744892717452428;0.27020033582306624;-12.803015219157006;-0.5553123304280778;-2.7540061338280597;0.16469576616582202;0.11774118865244716;0.27033789625430366
1NSU;-13.335842246450643;-0.5216963953667487;-1.1633622273588762;0.06384432593778826;0.0580957252094534;0.18886073916498305;-13.33576481680325;-0.5219807393577472;-1.162805518700038;0.0638941298831845;0.05810267900239256;0.1889111612268279
1ULM;-13.288380478397478;-0.8849311111576326;-2.693573479322024;0.0783094478091239;0.06343675943279725;0.27101396979995923;-13.290473670245232;-0.884594233114755;-2.6952618460962823;0.0785440600140543;0.06351426668586968;0.27158633555386197
AWES;-13.453903221708085;-0.22400545332500238;-2.6556641222359154;0.12356925911696377;0.08291378144644726;0.21953047886704036;-13.450799750013283;-0.22389094610215252;-2.656162722746155;0.12378951913558522;0.08298354666182385;0.21971100115441558
CAMR;-12.235484006488633;-1.4767194100186374;-2.4941855447272703;0.08851232837256813;0.10605092186156709;0.3185081027397383;-12.232836128124674;-1.4786179335100877;-2.495401244351821;0.08923630341797123;0.10701333211020125;0.3189683728788273
COVG;-12.445862918820735;-0.19532442601602257;-0.9678942925365572;0.09704375837716488;0.10657723401741252;0.21108813971371831;-12.448905115133986;-0.20173834585989533;-0.9678207911335964;0.09771655790911114;0.10929759248497697;0.21200440885053554
DSTR;-12.141369239034177;-0.8087609447634236;-1.9928066939005475;0.0738429402548243;0.08872853513401485;0.19304312487958367;-12.141999089402047;-0.806179370565409;-1.9928533462820275;0.07412800314694452;0.08919253952326262;0.19304949954908338
FSHS;-11.916540263628095;-2.771533367512536;-3.4011082352068813;0.07862664552995889;0.09684331827692208;0.23262022141970917;-11.917853799090874;-2.77173788835823;-3.3932637108336423;0.07873084700955342;0.09682623754231837;0.23285974059505415
GRIS;-12.310677707442128;-0.5995431686958943;-6.670000253875995;0.043942927125769304;0.05053107639087402;0.13464533700201223;-12.309740366285316;-0.5990944244645042;-6.6717278909213675;0.044006301969750666;0.05056912239952407;0.1351684517865008
GVMS;-12.435148791838866;-0.8295694489888168;-1.702881199348844;0.07788765250661575;0.07131003595036232;0.1778026151079897;-12.434740837446117;-0.8273355891687573;-1.7026788689683678;0.077984619289575;0.07182334664221496;0.17807146578195024
HAMM;-12.085062857665068;-0.32628446721377935;-1.3266964595583914;0.10961933201549068;0.05944144670473659;0.16878085408145865;-12.087762013697873;-0.3274724767111348;-1.3263159378512097;0.10968964414310522;0.059647934854804914;0.168691463437711
LAAB;-12.180631564491417;-0.6385581343659514;-2.882102312805357;0.08838736169090972;0.11696682096785548;0.21294817779387276;-12.179358644113291;-0.6362181449112018;-2.881859375775737;0.08852708006535441;0.1170114444510524;0.21294967512042834
LAAX;-12.246966570667349;-0.6409063075133598;-0.5336828076007087;0.0885948625496518;0.12471097847995412;0.3100415644120323;-12.247303082385717;-0.6442010603069744;-0.5283133675474267;0.08876049281517752;0.12499604481693684;0.31365130558229687
LABL;-12.567380440804255;-0.432032282294084;-0.7469800795987078;0.061849302436137885;0.07088282805638481;0.16756422521630293;-12.565244638165735;-0.43016333122724526;-0.749201134787209;0.06247781243762621;0.07177305058378408;0.16788883195530285
LABR;-12.594090370355977;-0.4232186565623254;-2.528562006368706;0.08873601722058364;0.0639817695381963;0.25401303953624305;-12.593264753379385;-0.4258000716376254;-2.5262075924680216;0.0900622426353912;0.06607498213011954;0.2541828134961216
LABV;-12.807384798106021;-0.24914101947658152;-11.350323396812657;0.12805471733261012;0.16242906887242864;0.5060721005019878;-12.806477696372411;-0.24895375061864397;-11.352118983405207;0.1285202235496117;0.16267569507160057;0.505066484735487
LAFR;-12.573509500916538;-2.835481448492175;-3.3485225805736456;0.11188649468964972;0.13830716068675736;0.29063940373555935;-12.570981032283576;-2.829358266307125;-3.35173464530803;0.11277422186350446;0.14009903597790188;0.29102826753772754
LAHO;-11.908421691937482;0.267422025094741;-3.2291331039079227;0.07439588842587405;0.09831360368427587;0.1745367177932882;-11.907741812063326;0.267430577452088;-3.2289786992048573;0.07475993990340621;0.09829478565949475;0.17453111956950285
LALA;-13.643247525106556;-2.405038289682389;-2.8984820681741525;0.10242386989937954;0.12971779017212548;0.46146389627379497;-13.638859327572362;-2.4024299244892635;-2.9062749007791013;0.10286235289149005;0.130005772734367;0.46391221404767924
LALC;-12.430006856535902;-2.0553117627617263;-1.6609403860647278;0.06151197561928726;0.08893251102732963;0.2042311307057557;-12.429881560561006;-2.0521009287048306;-1.660082452978296;0.06151092951918646;0.09103825194085531;0.20425142952238137
LALP;-12.485998822027911;-0.5883821569851264;-2.6697820140222737;0.06836318339390007;0.08660024712280195;0.26005261297154125;-12.484677069316247;-0.5842456940744967;-2.6702028767620223;0.06848360375461544;0.0876593311478659;0.26052340234161775
LAOK;-12.919817075182156;-1.6075548894548655;1.368313694338004;0.14618663337099133;0.09253146564996147;0.4161992182796984;-12.920920558511932;-1.613171778693716;1.3767777081572437;0.14717685144228776;0.09607605470674571;0.41915102115815545
LAOP;-12.736125241705613;-0.35746253420788926;-1.8254156727304114;0.07174006853936964;0.08076511612071209;0.22919798187480706;-12.735384546979684;-0.3564367279540552;-1.8309285678963656;0.0718865877677874;0.08095175102362837;0.22981058191832973
LAST;-12.500056266266908;-0.540952188821169;-1.4168520924457157;0.09213540562100711;0.0945790161665785;0.2519994713039508;-12.499167686083842;-0.5417306847562334;-1.4181770941869019;0.09262131987389319;0.09505723269753229;0.2520826780705234
LESV;-12.937302742710736;-1.7305014868627828;-0.499533696650745;0.060876695249855534;0.05399790463241637;0.17678449246154837;-12.936748036172279;-1.7309893542470813;-0.4984517525611201;0.06097602066278794;0.05411869564326331;0.17689602467773932
LHJI;-12.053566794363661;1.1168332985574068;1.2782847898220957;0.2051497939716733;0.14601796963088748;0.4907607656829882;-12.050513929853427;1.1170975589105472;1.2824966529965884;0.2056017864511866;0.14603542863855218;0.4913013682435356
LSUA;-12.694402509486583;-1.0195551311651865;-1.1699202337428583;0.06975277128621712;0.10930594835349798;0.19272098125087525;-12.692456420743447;-1.0202061685760235;-1.1716298362827806;0.06998215224893829;0.11024374861741315;0.1926471906396665
LTEC;-13.24606406463673;-0.9294790506089587;-2.3309950747065784;0.10249485649795385;0.08460756047596611;0.280926729941352;-13.24554537346347;-0.9293127304333767;-2.3309708758822905;0.10232384350066888;0.08546652721272545;0.280500388072372
LWES;-12.1723826981189;-0.6264393738565994;-1.3569828808189832;0.05033792478535126;0.052648448499876994;0.15159917388053623;-12.171379704009109;-0.6261026632650785;-1.3584735648722428;0.05052166627740951;0.052891982723896495;0.1517162757290072
MCNE;-11.567931812748038;-1.2633220018740405;-1.2882285470163162;0.11786145438178836;0.25991685690059113;0.5223634183761773;-11.568989230344668;-1.2621672522951752;-1.2912083343241578;0.11785040676377918;0.25999544313632444;0.5226041987529186
MRY2;-12.278638141255064;0.25479770404324825;1.9226634255194859;0.13857873566904752;0.13973323827653972;0.48706900583247004;-12.279879690687183;0.2580892048972771;1.9193554378954896;0.13901109975231649;0.14092883339079193;0.48659864630509475
OAKH;-12.644261192336105;-1.3872684102729347;-1.1995384156878068;0.06082412710280599;0.07344408046374545;0.19766462437336985;-12.640464121047797;-1.3893257180808092;-1.2021689419333892;0.060992625337564145;0.07375921379377348;0.1977787408300542
SHRV;-11.683606463446324;-1.9088317017816496;-2.5067326568851387;0.08074154461867088;0.06300758584491105;0.24004654882767584;-11.68363203939527;-1.9091587264709962;-2.502254900473993;0.08076878544858837;0.06311899558391333;0.2403586313191506
SIHS;-13.165970927263306;-0.9593436188975618;-1.3408126202108592;0.0575168203857712;0.04705595000229831;0.2008271028994241;-13.165862233411488;-0.9580669777083103;-1.3387372426461517;0.057503888323753284;0.047096237975189116;0.201108572008525
SJB1;-12.460602998904616;-1.5250934431120358;-2.3801034953612383;0.11225058855353254;0.20129129368288162;0.3365706334202445;-12.461580467327094;-1.5265335006620606;-2.3786080808712184;0.11235931289543047;0.2012717233281846;0.33750318163392656
TALL;-13.105606864917865;-1.0869565115938993;-1.1050816303545956;0.06736386348262202;0.08725284486638897;0.2195496993050241;-13.105632074099763;-1.0877888596918839;-1.1054836796216339;0.0673870766175745;0.08734315982183208;0.2196041476893993
TONY;-14.822557816279117;-2.899460688174744;-1.9853461201120395;0.20142532519695183;0.08909672981179663;0.23816865780383045;-14.823141731900655;-2.899559569084361;-1.9865009622525858;0.20160983759162876;0.08912463892597552;0.23924741129900576
