;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual
Station;V_E;V_N;V_U;σ_E;σ_N;σ_U;V_E;V_N;V_U;σ_E;σ_N;σ_U
HAML;-14.301031874103133;-9.13497750273323;-0.9564558307860419;0.22439795133066967;0.232651279850532;0.6169251812587255;-14.301867040212517;-9.133330368421452;-0.9578527654338779;0.22475312349044066;0.23556547302176864;0.6227733883795481
MSOL;-14.407481419943164;-9.629179757188089;-1.030183454331959;0.0707845860554743;0.07507069308782797;0.26424524645906006;-14.409474514137743;-9.629998101984944;-1.0295347659802843;0.07099708450108634;0.07513348261898928;0.266805882151168
MTDT;-14.197821157123727;-9.443987171640806;-1.2396066545148483;0.08002168000435292;0.10286448075474207;0.2610594532376002;-14.195942440909937;-9.443411629758835;-1.2372107885979933;0.0803835615155034;0.10353114896169585;0.2614412167493079
MTEI;-14.993072966770752;-8.211739323701856;-1.7409321859676077;0.04266758439201775;0.04422605935407176;0.18081451355161865;-14.993762286167462;-8.213011603337767;-1.7371329484413147;0.042712672055698606;0.04427847191538074;0.18104795165408852
MTLW;-14.981253328571844;-8.48843236035148;-1.1324043987863721;0.04021260233583506;0.0441567850730415;0.10770353282699731;-14.980800998617957;-8.488263520532564;-1.132958999201499;0.04048930916024297;0.04499226370107408;0.10851962641596241
MTMS;-15.310477790767193;-8.769689595695434;-1.6840769916470895;0.03856273581725164;0.04821535236933945;0.1693403681626612;-15.310073263604288;-8.77099105792044;-1.6850328019920011;0.03861216760123953;0.048223060497500345;0.16921776145799602
MTSU;-14.549016500218773;-8.452775875736863;-0.8852106452345838;0.0640649332043056;0.08307146901424596;0.19985340377381736;-14.543186272381678;-8.449164292807154;-0.8883637421706121;0.06467748330426658;0.08363135555181944;0.19972326787424594
NOMT;-14.516258759445737;-8.946293162924471;-0.565237005069249;0.03423145250983012;0.027693494928372565;0.0917713313126331;-14.516405978677746;-8.946457288975797;-0.5665915499434381;0.034307179526508934;0.027720668714214913;0.09237020314204748
P046;-14.231006052696529;-9.703058148682926;-0.6262062484231128;0.060919015225699105;0.06267942465670491;0.3061794877218457;-14.23157728955867;-9.700626608732165;-0.6248579913642346;0.06093007873282452;0.06336657116828842;0.3072908344071498
P047;-14.279983975382688;-9.776501059415724;-0.39622547457456253;0.04320485171805173;0.03150783611070884;0.14737714253006445;-14.279796278685133;-9.777891281247445;-0.39136410550815287;0.04319960991410804;0.03170787467391738;0.14811194177381823
P048;-14.637814021950598;-8.22872032371657;-0.7420166203722579;0.04597872784360171;0.04314771998768426;0.207221678072887;-14.637202514287845;-8.227359044455394;-0.7493313241770363;0.046136158637074334;0.043343896778525105;0.2086195168962413
P049;-14.830962900323671;-8.849016711453347;-1.29271550899675;0.04450336315542365;0.043686345886578076;0.22337877957856667;-14.831103459349837;-8.85067238259579;-1.2863258965672877;0.04456078783281676;0.043982221739380295;0.22423905293052304
P050;-14.821881223187903;-9.10003782325004;-1.3033303003986558;0.038561774032553835;0.04349211287009892;0.20933709224399424;-14.822555600310448;-9.101670814647143;-1.2982657777071587;0.03865985662102421;0.04428345916715964;0.21031935172357621
P051;-15.057477549234573;-7.7293209357740285;-1.0097216686124302;0.03826646831808149;0.04843827235904068;0.21560336331865346;-15.057329473141412;-7.729033495701425;-1.0121190057307203;0.03830286481595574;0.04856340134143852;0.21646611133428828
P052;-15.421856017542638;-7.357850513655069;-2.245976322102738;0.0442071454286711;0.046136427596929395;0.29853374171095914;-15.421571659860698;-7.355672498654139;-2.244193736638305;0.04431705266247136;0.04624593929770141;0.29849586133570594
P053;-15.50166070927389;-8.028372464437036;-2.051818775523589;0.03924253026358083;0.03602374463159784;0.2844156544632509;-15.501695815995618;-8.02816040130677;-2.053474750788622;0.03926175178614508;0.03636227176999486;0.28567986674985435
P054;-15.57687583513917;-6.309291536441116;-2.1437344082080125;0.045314166080253404;0.04595060138396558;0.26686555213481417;-15.576795646226582;-6.309721579237375;-2.140806545142979;0.04556648798204325;0.04604895455779898;0.2674201109701073
P055;-15.67399367709544;-6.429488043770003;-2.41325575377493;0.046935004767185595;0.05118345846674111;0.2892027790106549;-15.673813823469983;-6.426458204479434;-2.421365417368406;0.04693952831454696;0.05140887630658008;0.28925522884739474
P456;-14.383603166314936;-7.391057348024943;2.3030428908183267;0.06858559634557206;0.13362563897569207;0.26158499644140576;-14.384223702533767;-7.3900860536693775;2.299424384766672;0.06853922219729108;0.13362547912031703;0.267206028998235
P457;-14.844535678964073;-7.490325541807131;1.6796620591616964;0.05201827599657638;0.050803863466402054;0.10794364171611456;-14.84224198937998;-7.48820034272583;1.6765212596815027;0.05227347834825567;0.05154027221112509;0.10848705650967254
P458;-15.4006877433622;-9.776774271465833;2.3009488182289375;0.06012332752918293;0.04997316503014325;0.2038541939269801;-15.402171015343834;-9.772807616262904;2.2930636645493294;0.0604977259418255;0.05064341946765536;0.2048549841732744
