;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual
Station;V_E;V_N;V_U;σ_E;σ_N;σ_U;V_E;V_N;V_U;σ_E;σ_N;σ_U
BRAD;-18.59466603292398;-7.684421108453384;-1.2522569659712033;0.09241907739782541;0.11042455023849393;0.3071824354012323;-18.593344324314582;-7.6829455077167665;-1.25718080573067;0.0961402692411143;0.11080434412821137;0.3100473063666769
FLN1;-18.70570258250195;-7.2848305673459715;1.537273980774659;0.05992017758729197;0.06713831444930222;0.44478326823099307;-18.70549572019966;-7.284331754653124;1.5316935713301907;0.059950606575632774;0.0672411185430388;0.446197396890678
GARL;-17.755697548033872;-7.732898724524096;-0.2689319186127963;0.09575692528158225;0.06480327797100223;0.27332891027924927;-17.755868312684324;-7.7329320241205215;-0.26885006356916463;0.09587012726935168;0.0648121076352429;0.27557597375453663
GERL;-17.632917957350262;-8.021328031828045;-2.1311945390471827;0.10000411908502446;0.06843972482372573;0.23108844429899794;-17.635302098714032;-8.02076913452414;-2.131787166105745;0.10028923788397699;0.0684721970492879;0.23258026605306584
GOSH;-17.150252491774562;-9.465197979348197;-0.37673228723520436;0.06687521597457871;0.05087321641676021;0.18941032250787385;-17.149972491186432;-9.464471545376101;-0.3803842856194202;0.0670364736292211;0.05140181206714663;0.1926381240726336
MERC;-15.496611228302756;-8.778569005041838;-1.225896107186623;0.062123159902118155;0.042123485064853985;0.1502008625827769;-15.496874600550749;-8.77937841377744;-1.2246147830587542;0.06216433871692844;0.042346699472419036;0.15120950298136698
NVAL;-15.841110790814112;-8.915406963544683;-1.4481204865055322;0.07526729360439907;0.07207497626294955;0.24613330505652767;-15.842496348877487;-8.915306044473082;-1.4422815170315861;0.07678022773678254;0.0728150216758179;0.25130380161721394
NVSL;-15.070862323433849;-8.643223275488753;-0.24566528535905374;0.062308115846864784;0.11909300404422236;0.2630867829308882;-15.072450729455847;-8.643720395012593;-0.24346293069156474;0.06361098634589231;0.11947759334636313;0.2650814388529103
NVTP;-15.479454731389717;-8.915046937261744;-1.9327766773446322;0.06610398732108702;0.07686379083834004;0.593330584066873;-15.477926567705545;-8.914190934935892;-1.9301474270335344;0.06622277300787124;0.07701325916208833;0.5953713364090841
P002;-16.470677254558517;-9.599260132457509;0.27755061725095254;0.06789356894007774;0.056214805490706475;0.22825020026151885;-16.47085851718094;-9.598945476551842;0.27342463818750307;0.06783442887688845;0.0563909556598531;0.2320718076472178
P068;-16.875559493791435;-9.000465592963943;0.5342193353021139;0.047091497833283605;0.034130626944823;0.14312691246469833;-16.876125264381525;-9.000477276940872;0.5344251650638205;0.04719037463157191;0.03442968796563434;0.14545760689315673
P078;-17.594453265565168;-8.93711327965682;0.6795823836028658;0.06153636544066624;0.048667098513021;0.22172016909986475;-17.593740545307416;-8.937735373922393;0.6782717116441126;0.06162322592015628;0.048989813119880196;0.2252518482441039
P083;-16.772680626917136;-9.49952012720426;0.9522207889131608;0.040393314442986106;0.03965359509684272;0.12119618553892761;-16.773875148479217;-9.499930462904251;0.9557256948079798;0.040642061917219016;0.03961527974103039;0.12238596832043344
P095;-19.517992589014018;-6.360113829601808;-0.3822333249421706;0.0801436837923912;0.06650696532639287;0.23241742616061378;-19.51707558844321;-6.358330448113478;-0.38786092842364916;0.08021657849705346;0.06669190265937888;0.23366724881449244
P096;-18.832076363398052;-7.245537320646683;0.11835463290444384;0.05299239319407121;0.04620066577741518;0.17177835966898444;-18.833082746636755;-7.248568583064614;0.11731492810452049;0.05306106921315071;0.04650130078414545;0.1752534894958149
P097;-18.24514702709459;-7.812528460995666;0.06625444871410671;0.1199282293376704;0.0719476102014744;0.35601232818592454;-18.24847094735657;-7.810251928765175;0.06948707248017394;0.12014388653754185;0.07209957298235982;0.3567136605866016
P098;-18.322880370492545;-8.116410983765949;-0.08411236119041354;0.04711093349822487;0.04103865819203123;0.1891362144738799;-18.322789789716193;-8.116506696027812;-0.08239183231291568;0.047169540065150194;0.04118300206628617;0.19209796805484844
P099;-17.02039465134212;-8.220352589969947;0.4972431393636682;0.06110553035694658;0.055881051101521736;0.2501853491880771;-17.022129047642323;-8.2188352742368;0.4956970322403979;0.061146747885987125;0.05629460526197521;0.2512582306579168
P127;-19.235140676371753;-5.577130259017299;-0.5756259050694311;0.16036711779375995;0.13408444327649302;0.5327910939445347;-19.236017259572694;-5.578162234895702;-0.5747966364146837;0.16122544870825967;0.13488945079202994;0.5371711630855089
P128;-18.50401607442193;-7.0628613134946825;0.057980239835086884;0.06369500044745051;0.052241068205536687;0.19352933383754492;-18.505040177606716;-7.063205872326601;0.06126558865103252;0.06433020877447246;0.05228825260739245;0.19552848902477227
P130;-18.66270331572455;-6.731893795590938;-0.7839449736359774;0.1465597281320282;0.18566707689428794;0.35265428956050004;-18.66238733956137;-6.733078564945596;-0.7859436415516032;0.14824631018827275;0.18623402030090755;0.359212123489083
